category,title,credits,prerequisites,description
EDUCATION,EDUC 150 Infant/Toddler Internship ,3 cr,"Prerequisite: Department approval, EDUC 230 or concurrent enrollment in EDUC 230","Provides the daycare certification student with practical experience needed for Office for Children certification. The intern will complete an individualized learning contract, sponsored and approved by an education department faculty member. The intern will work under close supervision of both the cooperating teacher and department personnel."
EDUCATION,EDUC 151 Preschool Internship ,3 cr,"Prerequisite: Department approval, EDUC 305 or concurrent enrollment in EDUC 305","Provides the day care certification student with practical experience needed for Office for Children certification. The intern will complete an individualized learning contract, sponsored and approved by an education department faculty member. The intern will work under close supervision of both the cooperating teacher and departmental personnel."
EDUCATION,EDUC 230 Program Development: Infants & Toddlers,3 cr,Prerequisite: Department approval,"Examines theory and practice of daycare for infants - up to age 3. Age-appropriate activities, program/curriculum development and special issues in daycare will be discussed. Working with parents, assessment, individual difference and multicultural appreciation will also be discussed."
EDUCATION,EDUC 302 Assessment and Evaluation ,3 cr,Prerequisite: Junior/senior status,"Provides participants with a repertoire of assessments for classroom use including formal, informal, formative, summative, authentic and standardized. Participants will also engage in discussions about reporting student progress to parents. Students will learn a process by which to assess themselves in their role as teacher."
EDUCATION,"EDUC 305 Program Development: 3, 4 and 5 year olds",3 cr,Prerequisite: Department approval,"Examines theories and practices of preschool programs. Emphasis placed on building a developmentally appropriate environment. Students will create a portfolio of curriculum materials. Issues such as professional development, parent-teacher relationships, assessment and evaluation, and children's transition to kindergarten will also be discussed. Preschool internships to be taken simultaneously. Students will complete an action research project."
EDUCATION,EDUC 324 Teaching Math/Science K-8 ,3 cr,Prerequisite: Department approval,"Supports the preservice and inservice teacher in planning for the teaching and learning of science and mathematics in the K-8 classroom. Major concepts, curriculum theory and instructional strategies appropriate to math and science education are explored in a hands-on workshop format. Current topics, issues and movements in science and math education are examined."
EDUCATION,EDUC 325 Teaching Science: Elementary and Middle School ,3 cr,Prerequisite: Department approval,"Organizes and plans for teaching and learning science. Major principles of science, the development of science lesson plans, experiments and demonstrations, enrichment activities and science projects are included. The shaping of science education in today's elementary and middle schools is examined through recent science education research materials."
EDUCATION,EDUC 336 Reading in the Content Area ,3 cr,Prerequisite: Department approval,"Examines effective strategies to support middle school and secondary students' ability to use language to learn. In addition to reading and writing text, alternative modes of demonstrating learning will be explored. Technology will be included through online assignments. Reflection and professional growth are concurrent goals."
EDUCATION,EDUC 338 Reading and Language Arts (ECHE/ELEM),3 cr,Prerequisite: Department approval,"Emphasizes an integrated, constructivist approach to teaching the language arts based on cognitive, psycholinguistic and sociolinguistic theories about how children learn language. Teaching strategies are introduced that help children learn to communicate effectively using listening, talking, reading and writing. Organizational patterns of instruction that emphasize literature, theme cycles and workshop approaches are explored."
EDUCATION,EDUC 340 Field Placement I ,2 cr,"Prerequisite: CCSS 269, department approval and 2.5 overall GPA Coreq: EDUC 338 or EDUC 430","Acquaints each student with the contemporary setting of public schools. In this pre-practicum, students will be expected to be in a classroom for 48 hours. This will be the first experience in the schools for each education student. The on-campus component includes five seminar sessions. Students may be waived from hours in the school setting if appropriate documentation is provided but not from the seminars."
EDUCATION,EDUC 341 Field Placement II ECHE/ELEM ,2 cr,"Prerequisite: CCSS 269, EDUC 340, department approval, 2.5 overall GPA , passing score on Communication/Literacy MTEL Coreq: EDUC 409 or EDUC 412",Requires that pre-service teachers will assume a broader variety of instructional responsibilities in an early childhood/elementary classroom. Students will be expected to be in a classroom for 48 hours. The on-campus component includes four seminar sesions. Students may be waived from hours in the school setting but not from seminars.
EDUCATION,EDUC 342 Field Placement II MDSE/SECE ,2 cr,"Prerequisite: CCSS 269, EDUC 340, department approval, 2.5 overall GPA , passing score on Communication/Literacy MTEL Coreq: EDUC 414 or EDUC 416",Requires that pre-service teachers will assume a broader variety of instructional responsibilities in a middle or secondary level classroom. Students will be expected to be in a classroom for 48 hours. The on-campus component includes four seminar sessions. Students will be waived from hours in the school setting if appropriate documentation is provided but not from seminars.
EDUCATION,EDUC 375 Coaching Principles ,3 cr,Prerequisite: Sophomore status,"Facilitates an understanding of sport coaching based on the most current thinking regarding principles that appropriately guide coaching behaviors. Involves the study of medical-legal, growth and development, psychosocial, biophysical, training/conditioning, tactical/strategical, organizational/administrative, ethical and professional development aspects of coaching in a variety of competitive sport settings. Course attributes: LDRS."
