description,title,prerequisites,schedule_type,levels,department
"The Study Abroad EPIC Interior/Industrial Design studio explores human scale and interaction in the interior built environment. Projects require solutions that simultaneously resolve theoretical, aesthetic and technical concerns, including the use of sustainable design methodologies.",DSGN 3500 - STUDY ABROAD EPIC STUDIO,,Study Abroad,Undergraduate,Design
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,DSGN 3800 - SPECIAL TOPICS DESIGN,,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Design
This course is designed to enable the student to understand the functioning of the competitive market. The analysis of the production of goods and services and the method of allocation and distribution is emphasized.,ECON 1102 - ECONOMICS I,successful completion of and English sequence (Day) or ENGL1050 (CPCE),"Lecture,",Undergraduate,Professional Continuing Educ
"The course deals with the creation and uses of money and the role of banks. Fiscal and monetary policy, the role of the Federal Reserve, and both foreign and domestic banking policy will be studied.",ECON 1300 - MONEY AND BANKING,"ENGL1050-, English Composition and ENGL1550 - Literature and Composition",Lecture,Undergraduate,Professional Continuing Educ
"This course is a survey of the development of international trade theory and policy. Topics include: The organization and regulation of international trade, GATT, international economic integration, NAFTA, balance of payments and exchange rate determinations. Prerequisite: ENGL1050 - English Composition and ENGL1550 .",ECON 3200 - INTN'L ECONOMICS,,Lecture,Undergraduate,Professional Continuing Educ
Presents topics in economics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,ECON 3800 - SPECIAL TOPICS IN ECONOMICS,Completion of an English sequence.,"Hybrid,",Undergraduate,Humanities Social Sciences
"This course covers the core theories and concepts of microeconomics and macroeconomics, with emphasis on how individuals, organizations, and public officials allocate scarce resources, and the impact of their policy choices on the growth and development of the economy.",ECON 4102 - PRINCIPLES OF ECONOMICS,completion of an English sequence,"Lecture, Online",Undergraduate,Humanities Social Sciences
"An introduction to the functioning of market economics. National income determination, and the role of labor and capital in the determination of economic aggregates. Public and economic policy associated with unemployment and inflation, and fiscal and monetary policy.",ECON 4152 - MACROECONOMICS,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course involves a study of the choices made by individuals and organizations in the allocation of scarce resources with emphasis on consumer demand and profit maximization of firms, the behavior of firms under conditions of competition, monopoloy-monopoly and imperfect competition, and public policy issues related to the same.",ECON 4154 - MICROECONOMICS,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This course will examine the global economic shifts which have precipitated regional and global economic integration and interdependence among the world's economies. Topics include the role of international organizations, global corporations, and international flows of finance, information, technology and trade in shaping the scope, depth, and pace of economic growth and development in the international community.",ECON 4362 - THE GLOBAL ECONOMY,completing of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
"This initial course introduces technology concepts and engineering drawing. Students will learn about basic systems, get an overview of their major, and become acquainted with the skill sets they will need to be successful in their field.",ELEC 1000 - INTRO TO ENG AND TECH,Enrollment in BCOT or BEET program,"Laboratory, Lecture",Undergraduate,Electrical Engineering and Tec
"Basic principles of electric circuit analysis are discussed. Voltage, current, and power relationships in AC and DC circuits are emphasized. Principles and applications of diodes, transistors, and control devices are discussed. Basic digital circuitry is also included. Laboratory work augments the theory.",ELEC 1030 - ELEX & ELECTRONICS,MATH1065 - College Math C or MATH1500 - Precalculus,"Laboratory, Lecture",Undergraduate,Electrical Engineering and Tec
"The concepts of current, voltage, power, energy, and resistance are studied. Topics include DC and AC sources, capacitance, inductance, and magnetism. Resistive circuits are analyzed using Ohm's and Kirchhoff's Laws and computer-aided circuit analysis using SPICE is included.",ELEC 1100 - CIRCUIT THEORY I,MATH1000 - College Mathematics or MATH1035 - College Mathematics B,"Laboratory, Lecture",Undergraduate,Electrical Engineering and Tec
"The concepts of impedance and admittance in sinusoidal circuits are examined. Circuits are solved using superposition, Thevenin, Norton, nodal, and mesh analysis. Resonant circuits and transformer theory are also studied. Laboratory work and computer-aided analysis techniques are designed to correlate with theory.",ELEC 1500 - CIRCUIT THEORY II,ELEC1100 - Circuit Theory I. CorequisiteMATH1500 - Precalculus,"Laboratory, Lecture",Undergraduate,Electrical Engineering and Tec
